T,W,SR,DSP,DRH,PanE,,,,,,,,
0.403314917,0.454942104,0.528003989,0.5,0.739726027,0.372093023,,,0.049723757,0.305755999,0.329067642,0.7,0.232876712,0.3851788
0.370165746,0.825641886,0.52285192,0.3,0.671232877,0.395348837,,,0.436464088,0.398388991,0.294831311,0.55,0.835616438,0.226645789
0.397790055,0.353918443,0.739903606,0.55,0.712328767,0.430232558,,,0.342541436,0.279744924,0.329566229,0.55,0.753424658,0.204152
0.574585635,0.348548414,0.744557088,0.4,0.589041096,0.581395349,,,0.331491713,0.281423058,0.391058667,0.55,0.739726027,0.239172034
0.55801105,0.30726632,0.810204421,0.45,0.712328767,0.523255814,,,0.480662983,0.391508642,0.276217384,0.65,0.876712329,0.202277862
0.491712707,0.361637859,0.711151737,0.4,0.849315068,0.372093023,,,0.436464088,0.150696426,0.555093901,0.65,0.506849315,0.408838332
0.436464088,0.58633999,0.46534818,0.25,0.698630137,0.406976744,,,0.414364641,0.207249539,0.01927871,0.45,1,-0.08239797
0.635359116,0.401409632,0.922718963,0.5,0.328767123,0.895348837,,,0.287292818,0.846282933,0.343526674,0.35,0.671232877,0.498828361
0.491712707,0.384628293,0.546119329,0.45,0.780821918,0.348837209,,,0.419889503,0.315824803,0.739737411,0.4,0.671232877,0.497078622
0.475138122,0.424232254,0.300149576,0.45,0.917808219,0.174418605,,,0.513812155,0.421211613,0.761841449,0.5,0.383561644,0.726295284
0.585635359,0.41366001,0.523516703,0.3,0.835616438,0.337209302,,,0.403314917,0.454942104,0.528003989,0.5,0.739726027,0.409271316
0.546961326,0.338647424,0.343028087,0.3,0.890410959,0.209302326,,,0.370165746,0.825641886,0.52285192,0.3,0.671232877,0.606517396
0.607734807,0.579459641,0.458035566,0.25,0.780821918,0.406976744,,,0.397790055,0.353918443,0.739903606,0.55,0.712328767,0.479705435
0.546961326,0.676623595,0.685225195,0.5,0.630136986,0.639534884,,,0.574585635,0.348548414,0.744557088,0.4,0.589041096,0.603310304
0.519337017,0.622252056,0.355991358,0.45,0.684931507,0.430232558,,,0.55801105,0.30726632,0.810204421,0.45,0.712328767,0.547283198
0.475138122,1,0.30945654,0.3,0.575342466,0.569767442,,,0.491712707,0.361637859,0.711151737,0.4,0.849315068,0.434332815
0.629834254,0.477093472,0.638856573,0.25,0.835616438,0.430232558,,,0.436464088,0.58633999,0.46534818,0.25,0.698630137,0.479254829
0.546961326,0.350897802,0.344690045,0.25,0.917808219,0.197674419,,,0.635359116,0.401409632,0.922718963,0.5,0.328767123,0.862687921
0.552486188,0.409800302,0.349343527,0.5,0.863013699,0.244186047,,,0.491712707,0.384628293,0.546119329,0.45,0.780821918,0.395085147
0.574585635,0.597919114,0.724447399,0.45,0.712328767,0.569767442,,,0.475138122,0.424232254,0.300149576,0.45,0.917808219,0.215220403
0.596685083,0.428091962,0.941665282,0.4,0.739726027,0.674418605,,,0.585635359,0.41366001,0.523516703,0.3,0.835616438,0.404282589
0.563535912,0.467192482,0.565065647,0.3,0.808219178,0.406976744,,,0.546961326,0.338647424,0.343028087,0.3,0.890410959,0.240972346
0.569060773,0.606981037,0.35549277,0.2,0.835616438,0.302325581,,,0.607734807,0.579459641,0.458035566,0.25,0.780821918,0.48284016
0.651933702,0.449572076,0.886820675,0.35,0.657534247,0.709302326,,,0.546961326,0.676623595,0.685225195,0.5,0.630136986,0.686650488
0.563535912,0.464843094,0.226026259,0.35,0.931506849,0.162790698,,,0.519337017,0.622252056,0.355991358,0.45,0.684931507,0.464077981
0.64640884,0.530625944,0.912414825,0.45,0.684931507,0.720930233,,,0.475138122,1,0.30945654,0.3,0.575342466,0.659205105
0.701657459,0.426581641,0.818181818,0.15,0.780821918,0.593023256,,,0.629834254,0.477093472,0.638856573,0.25,0.835616438,0.505908936
0.806629834,0.420540359,0.739903606,0.2,0.726027397,0.581395349,,,0.546961326,0.350897802,0.344690045,0.25,0.917808219,0.235554497
0.82320442,0.389830508,0.816852252,0.2,0.767123288,0.627906977,,,0.552486188,0.409800302,0.349343527,0.5,0.863013699,0.282604871
0.784530387,0.373888236,0.8976234,0.2,0.753424658,0.674418605,,,0.574585635,0.597919114,0.724447399,0.45,0.712328767,0.639695698
0.773480663,0.504614868,0.805717135,0.3,0.767123288,0.651162791,,,0.596685083,0.428091962,0.941665282,0.4,0.739726027,0.66695736
0.762430939,0.421211613,0.864051853,0.35,0.753424658,0.686046512,,,0.563535912,0.467192482,0.565065647,0.3,0.808219178,0.456194337
